train_start,train_end,test_start,test_end,accuracy
2019-03-12,2021-03-17,2021-03-18,2021-06-16,0.5333333333333333
2019-06-12,2021-06-16,2021-06-17,2021-09-13,0.5
2019-09-09,2021-09-13,2021-09-14,2021-12-09,0.38333333333333336
2019-12-09,2021-12-09,2021-12-10,2022-03-07,0.48333333333333334
2020-03-03,2022-03-07,2022-03-08,2022-06-03,0.4666666666666667
2020-06-04,2022-06-03,2022-06-06,2022-08-30,0.5166666666666667
2020-08-27,2022-08-30,2022-09-01,2022-11-28,0.48333333333333334
2020-11-20,2022-11-28,2022-11-29,2023-02-21,0.48333333333333334
2021-02-17,2023-02-21,2023-02-22,2023-05-24,0.6
2021-05-20,2023-05-24,2023-05-25,2023-08-18,0.5
2021-08-13,2023-08-18,2023-08-21,2023-11-15,0.6
2021-11-11,2023-11-15,2023-11-16,2024-02-12,0.5666666666666667
2022-02-07,2024-02-12,2024-02-13,2024-05-14,0.5666666666666667
2022-05-09,2024-05-14,2024-05-15,2024-08-08,0.48333333333333334
2022-08-01,2024-08-08,2024-08-09,2024-11-04,0.5
2022-10-31,2024-11-04,2024-11-05,2025-01-31,0.48333333333333334
2023-01-24,2025-01-31,2025-02-01,2025-05-05,0.55
2023-04-26,2025-05-05,2025-05-06,2025-07-28,0.5666666666666667
2023-07-21,2025-07-28,2025-07-29,2025-10-24,0.4666666666666667
